id,priority,phase,area,title,description,acceptance_criteria,test_mcp,review_initial_requirements,review_regression_requirements,dev_state,review_initial_state,review_regression_state,git_state,owner,refs,notes
CCHFWD-000,P0,1,both,初始化独立项目骨架与三入口路由,在 cch-forwarder 内初始化可本地启动的 Next.js 项目，并提供 Claude Messages / OpenAI Chat / OpenAI Responses 三个 POST 入口。,本地启动成功；三条路由返回结构化错误（未配置/未命中时 400，JSON 可解析）；路由路径精确为 /v1/messages、/v1/chat/completions、/v1/responses。,AUTOE2E,保持目录自包含；不引用根项目 src 运行时依赖；路由层只做协议识别与调用核心 handler。,三入口各发一条最小请求，确认不会 500；检查响应头 Content-Type 与 SSE/非 SSE 分支。,已完成,已完成,已完成,未提交,,cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:309;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:310;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:313;cch-forwarder/src/app/v1/messages/route.ts:1;cch-forwarder/src/app/v1/chat/completions/route.ts:1;cch-forwarder/src/app/v1/responses/route.ts:1;cch-forwarder/src/lib/error-response.ts:1,picked_reason:P0 基础骨架与三入口路由是后续所有功能的前置依赖，优先落地以解锁其它 issue;evidence:bun install + bun run dev + node fetch 验证三入口非 SSE 返回 400 JSON；/v1/responses stream:true 返回 400 SSE 且包含 [DONE];done_at:2026-01-02
CCHFWD-010,P0,1,backend,实现本地 JSON 配置加载与严格模式 400,实现 gateway.json 读取、Zod 校验、缓存与原子写入基础设施；严格模式下未命中 models/routes 直接返回 400。,支持从 config/gateway.json 读取并通过 schema 校验；配置错误时返回 500+明确错误；严格模式下 unknown model 返回 400 且错误原因可区分（未命中 models/routes/target/provider）。,AUTOSERVER,配置读写必须原子化（temp+rename）；错误信息不泄露 apiKey；提供最小的配置热加载策略（例如 TTL/手动 reload）。,用合法/非法配置文件各验证一次；对 unknown model、route target missing、provider disabled 三类错误均返回 400 且 message 可定位。,已完成,已完成,已完成,未提交,,cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:83;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:161;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:173;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:183;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:285;cch-forwarder/src/lib/gateway-config.ts:1;cch-forwarder/src/lib/model-resolution.ts:1;cch-forwarder/src/app/v1/responses/route.ts:1;cch-forwarder/config/gateway.example.json:1;cch-forwarder/.gitignore:1,picked_reason:P0 后端核心基础设施（gateway.json schema/缓存/原子写）是后续 model/route/provider 解析与 UI 的前置能力;evidence:bun run typecheck；bun run dev + node fetch 覆盖 unknown model / route_target_missing / provider_disabled / invalid_config(500且不泄露apiKey) / SSE Content-Type;done_at:2026-01-02
CCHFWD-020,P0,2,backend,实现 Model Resolution（别名直达 + routes）,实现 requestedModel -> (models 直达) 或 (routes 匹配 -> targetModel) 的确定性解析，并输出可审计的 resolution 结果。,优先命中 models；否则按 routes(priority desc) 匹配；命中后返回 targetModel/provider/upstreamModel/options；未命中返回 400；输出调试字段至少包含 matchedRouteId/selectionPath。,AUTOSERVER,匹配语义清晰：model 精确、modelPrefix 前缀、modelRegex 默认关闭或受限；大小写策略统一（建议不敏感）。,覆盖：models 命中覆盖 routes；routes priority 正确；enabled=false 不参与；protocol 限定生效（若启用）。,已完成,已完成,已完成,未提交,,cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:69;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:72;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:175;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:178;cch-forwarder/src/lib/model-resolution.ts:1;cch-forwarder/src/lib/gateway-config.ts:1;cch-forwarder/src/app/v1/responses/route.ts:1,picked_reason:P0 Model Resolution 是转发链路的核心决策点，后续 Protocol Adaptation/Options Enforcement/UI 依赖其确定性输出;evidence:bun run dev + node fetch 验证 models 优先覆盖 routes；routes priority(desc) 与 enabled=false；protocol 限定；modelRegex 默认禁用；大小写不敏感匹配；返回 binding.selectionPath/matchedRouteId;done_at:2026-01-02
CCHFWD-030,P0,2,backend,实现 Protocol Adaptation（入站到上游协议）,根据 provider.type 选择上游协议，并实现三入站协议到三上游协议的适配（MVP 覆盖常用字段与流式）。,对每个入站协议，至少支持转发到同协议上游；并支持跨协议转换矩阵（Chat<->Responses、Claude<->Responses、Claude<->Chat）；流式请求保持 SSE 透传不崩。,AUTOE2E,转换仅做最必要字段；明确丢弃/保留字段策略；对不支持能力返回 400 而非 silent ignore。,用 3x3 组合至少跑通同协议透传；对跨协议挑选 2-3 条关键路径做联调（Claude->Responses 注入、Chat->Responses 注入、Responses->Claude）。,已完成,已完成,已完成,未提交,,cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:197;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:202;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:219;cch-forwarder/src/lib/proxy-handler.ts:1;cch-forwarder/src/lib/protocol-converters.ts:1;cch-forwarder/src/lib/protocol.ts:1;cch-forwarder/scripts/e2e-protocol-adaptation.mjs:1;cch-forwarder/src/app/v1/responses/route.ts:1;cch-forwarder/next.config.ts:1,picked_reason:P0 协议适配+上游转发打通后，Options Enforcement 与 UI 才有可验证的真实链路;evidence:bun run e2e:protocol（本地 mock upstream）覆盖同协议 3 条 + 跨协议 Claude->Responses/Chat->Responses/Responses->Claude；SSE 同协议透传；跨协议 stream 返回 400 且不崩;done_at:2026-01-02
CCHFWD-040,P0,2,backend,实现 Options Enforcement（Codex 推理等级强制注入）,当别名模型定义了 options.reasoningEffort 时，在发往 openai-responses 上游前强制覆盖 reasoning.effort。,reasoningEffort=low/medium/high/minimal 映射到 reasoning.effort 同名；无论客户端是否传 reasoning，最终上游请求均为配置值；当 provider.type!=openai-responses 却设置 reasoningEffort 时，保存配置直接失败。,AUTOSERVER,注入必须发生在协议转换之后；覆盖策略需写清楚并记录到 logs/debug 字段，避免“看似命中但未生效”。,构造客户端传入不同 reasoning.effort 的请求，确认最终上游被覆盖；验证 unset 时透传；验证非法组合（non-responses provider + reasoningEffort）无法保存。,已完成,已完成,已完成,未提交,,cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:226;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:234;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:243;src/app/v1/_lib/codex/types/response.ts:7;any-api/src/dispatch.ts:61;cch-forwarder/src/lib/proxy-handler.ts:1;cch-forwarder/src/lib/gateway-config.ts:1;cch-forwarder/scripts/e2e-protocol-adaptation.mjs:1,picked_reason:P0 reasoning.effort 强制注入直接影响成本/质量，且依赖已打通的转发链路，应尽早固定行为;evidence:bun run e2e:protocol 断言 cross-protocol(Claude->Responses) 上游请求 reasoning.effort 被覆盖为配置值；并在响应 _cch_forwarder.enforcedReasoningEffort 记录;done_at:2026-01-02
CCHFWD-050,P1,3,frontend,Providers 管理页（配置上游渠道 + 连通性测试）,实现 /settings/providers：CRUD providers（type/baseUrl/apiKey/endpoints/headers/enabled），并提供连通性测试按钮。,可新增/编辑/禁用 provider；apiKey 展示为 mask；测试按钮对不同 provider.type 发最小探测并显示成功/失败与耗时；写入后落盘到 gateway.json。,AUTOFRONTEND,表单校验清晰（URL/必填/枚举）；敏感信息不写入日志；API 错误提示对用户可读。,刷新页面配置仍存在；测试失败展示可操作信息；禁用 provider 后依赖该 provider 的模型解析应返回 400（由后端严格模式保证）。,已完成,已完成,已完成,未提交,,cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:248;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:252;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:276;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:282;cch-forwarder/src/app/settings/providers/page.tsx:1;cch-forwarder/src/app/settings/providers/providers-page-client.tsx:1;cch-forwarder/src/app/api/gateway/route.ts:1;cch-forwarder/src/app/api/providers/test/route.ts:1,picked_reason:P1 配置管理 UI 是实际使用入口，providers 先行可解锁 models/routes 配置与联调;evidence:手动 UI：/settings/providers 可新增/编辑/禁用 provider；apiKey mask 展示；Test 按钮返回耗时；写入落盘 gateway.json（原子写）;done_at:2026-01-02
CCHFWD-060,P0,3,frontend,Models 管理页（别名模型 + reasoningEffort 配置）,实现 /settings/models：CRUD 别名模型（modelId/providerId/upstreamModel/options.reasoningEffort）。,可创建 gpt52-low/med/high；provider 下拉可选；当 provider.type!=openai-responses 时 reasoningEffort 控件禁用；保存失败能显示具体校验错误；写入后立即影响路由解析。,AUTOFRONTEND,modelId 唯一性校验；引用 providerId 必须存在；reasoningEffort 仅对 responses provider 生效。,创建/编辑/删除模型后，Route Simulator 与实际转发均反映最新配置；错误场景（重复 modelId/引用不存在 provider）可复现并提示。,已完成,已完成,已完成,未提交,,cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:248;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:257;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:167;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:226;cch-forwarder/src/app/settings/models/page.tsx:1;cch-forwarder/src/app/settings/models/models-page-client.tsx:1;cch-forwarder/src/app/api/gateway/route.ts:1;cch-forwarder/src/lib/gateway-config.ts:1,picked_reason:P0 别名模型是核心抽象，且 reasoningEffort 配置/校验是成本控制关键;evidence:手动 UI：/settings/models 可 CRUD；provider 下拉；non-responses provider 时 reasoningEffort 禁用；保存校验失败返回 400 并展示；保存后立即影响解析/转发;done_at:2026-01-02
CCHFWD-070,P1,3,frontend,Routes 管理页（优先级匹配与目标模型）,实现 /settings/routes：CRUD routes（enabled/priority/match/targetModel），支持排序与基础校验。,可配置 haiku/sonnet/opus 路由示例；priority 生效且可视化；targetModel 下拉只显示存在的 models；保存后严格模式下请求能按 routes 命中转发。,AUTOFRONTEND,match 至少且仅一种（model/modelPrefix/modelRegex）；modelRegex 默认关闭或提示风险；目标模型不存在时禁止保存。,覆盖：priority 排序、enabled 开关、protocol 限定（若 UI 支持）；删除目标模型后相关 route 需要提示并阻止保存。,已完成,已完成,已完成,未提交,,cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:248;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:262;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:178;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:189;cch-forwarder/src/app/settings/routes/page.tsx:1;cch-forwarder/src/app/settings/routes/routes-page-client.tsx:1;cch-forwarder/src/app/api/gateway/route.ts:1;cch-forwarder/src/lib/model-resolution.ts:1,picked_reason:P1 路由规则决定未命中/命中链路，配合 Simulator 能快速排障与联调;evidence:手动 UI：/settings/routes 可 CRUD；priority 可视化（排序）；targetModel 下拉只显示存在 models；regex 默认禁用；保存后严格模式按 routes 命中解析/转发;done_at:2026-01-02
CCHFWD-080,P0,3,both,Route Simulator（命中解释与 400 诊断）,实现 /tools/route-sim：输入 protocol+requestedModel，输出 alias/routes 命中链路、最终 provider/upstream/options，以及严格模式未命中原因。,对任意输入可给出确定性结果：matchedModelId 或 matchedRouteId；未命中时返回明确原因（models 不存在/无 route 命中/target/provider 问题）；可一键复制建议配置片段（可选）。,AUTOE2E,输出需可用于排障：包含 priority、match 规则、最终注入 reasoning；不泄露 apiKey。,用示例：claude-haiku、claude-sonnet、gpt52-low、unknown-model 逐一验证输出；与实际请求转发结果一致。,已完成,已完成,已完成,未提交,,cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:266;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:183;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:326;cch-forwarder/src/app/tools/route-sim/page.tsx:1;cch-forwarder/src/app/api/route-sim/route.ts:1;cch-forwarder/src/lib/model-resolution.ts:1,picked_reason:P0 Simulator 是排障关键工具，可解释 400 原因并与实际转发对齐;evidence:/tools/route-sim + /api/route-sim 输出 selectionPath/matchedRouteId/target/provider/upstream/options；未命中给出明确错误；不泄露 apiKey;done_at:2026-01-02
CCHFWD-090,P1,4,both,内存日志与最小测试套件（回归）,实现内存 ring buffer logs（可选页面 /logs）并补齐最小测试：alias 命中、route 命中、严格 400、reasoning 注入覆盖。,日志记录包含：time/protocol/requestedModel/selectionPath/matchedRouteId/providerId/upstreamModel/reasoningEffort/statusCode/latency；最小测试可一键运行并覆盖四类核心行为。,AUTOE2E,日志字段固定且可扩展；测试用例独立不依赖外网（可用 mock upstream）；避免引入数据库。,跑完整测试集通过；手动验证 /logs（若实现）可查看最近 N 条记录；对失败请求也记录解析结果。,已完成,已完成,已完成,未提交,,cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:325;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:326;cch-forwarder/plan/2026-01-02_05-56-36-cch-forwarder-design.md:327;cch-forwarder/src/lib/logs.ts:1;cch-forwarder/src/app/logs/page.tsx:1;cch-forwarder/src/app/api/logs/route.ts:1;cch-forwarder/scripts/e2e-protocol-adaptation.mjs:1,picked_reason:P1 可观测性与回归保障后续改动安全，且测试不依赖外网（mock upstream）;evidence:bun run e2e:protocol（mock upstream）覆盖 alias 命中、route 命中、严格 400、reasoning 注入；/logs 可查看最近 N 条（成功/失败均记录）;done_at:2026-01-02
